number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9305965934065934,2026-03-29 00:54:12.166275,2026-03-29 00:54:43.845235,0 days 00:00:31.678960,0.662397808134481,3.005575058716044,0.07220721098226064,9,12.374511199743695,2000,3.3323645788192616e-08,5.314343038625026,0.6624074561769746,COMPLETE
1,0.9312336703296704,2026-03-29 00:54:43.991254,2026-03-29 00:55:55.952970,0 days 00:01:11.961716,0.6727299868828402,2.6237821581611893,0.010437335666720523,10,16.816410175208013,3000,4.4734294104626844e-07,0.02034955951308026,0.6849356442713105,COMPLETE
2,0.9326792087912088,2026-03-29 00:55:56.084392,2026-03-29 00:56:50.102028,0 days 00:00:54.017636,0.7465447373174767,0.9983689107917987,0.0183234024502698,8,3.6503833523887947,2500,0.00012724181576752517,2.382678038197034,0.7168578594140873,COMPLETE
3,0.9293334945054945,2026-03-29 00:56:50.224754,2026-03-29 00:57:56.973626,0 days 00:01:06.748872,0.6260206371941118,4.041986740582305,0.034277067939409996,4,12.54335218612733,2500,3.4671276804481113,14.230243744913723,0.6682096494749166,COMPLETE
4,0.9311704395604395,2026-03-29 00:57:57.085332,2026-03-29 00:59:03.829208,0 days 00:01:06.743876,0.798070764044508,1.2938999080000846,0.01225199210177624,8,9.362897381052425,2000,2.039373116525212e-08,8.14731157122018,0.6488152939379115,COMPLETE
5,0.931173978021978,2026-03-29 00:59:03.939868,2026-03-29 01:00:04.886250,0 days 00:01:00.946382,0.9878338511058234,4.474136752138244,0.019120672003192066,7,11.387495307522313,3000,0.09466630153726856,10.985330528057915,0.6739417822102108,COMPLETE
6,0.9315516043956044,2026-03-29 01:00:04.998997,2026-03-29 01:00:31.247837,0 days 00:00:26.248840,0.7301321323053057,4.143687545759647,0.06800414597277955,4,4.723674385963759,3000,3.148441347423712e-05,0.014691979880907806,0.6180909155642152,COMPLETE
7,0.9319981978021977,2026-03-29 01:00:31.351094,2026-03-29 01:01:37.072182,0 days 00:01:05.721088,0.6298202574719083,0.993578407670862,0.01793532053620138,7,3.6775602745204905,2000,7.620481786158549,2.0962733672452414,0.9208787923016158,COMPLETE
8,0.9311730109890111,2026-03-29 01:01:37.168791,2026-03-29 01:02:09.662843,0 days 00:00:32.494052,0.6296178606936361,4.315517129377968,0.05450483770507908,8,14.851136192778759,1000,1.683416412018213e-05,0.0031503318255412553,0.9085081386743783,COMPLETE
9,0.9314561978021979,2026-03-29 01:02:09.785652,2026-03-29 01:03:24.493645,0 days 00:01:14.707993,0.8918424713352255,2.3610746258097466,0.019898974384450128,4,6.908664112597582,3000,0.005470376807480391,6.545285853960302,0.7300733288106989,COMPLETE
10,0.9321454065934067,2026-03-29 01:03:24.605368,2026-03-29 01:04:08.818729,0 days 00:00:44.213361,0.8084932353340201,0.19953767859742422,0.03233905724181011,6,1.3412756366815728,4000,0.0009327366933736893,0.4832835024703778,0.8010124870699186,COMPLETE
11,0.9325234505494506,2026-03-29 01:04:08.937968,2026-03-29 01:04:43.711368,0 days 00:00:34.773400,0.7927585318653319,0.023376407707150132,0.035670363595575995,6,1.461380106447367,4000,0.001213646495214816,0.4470387551870716,0.814249705614196,COMPLETE
12,0.9319225494505495,2026-03-29 01:04:43.797072,2026-03-29 01:05:18.877209,0 days 00:00:35.080137,0.7702143284127456,0.015536082439507678,0.04223939030914724,6,1.1368800330075617,4000,0.020439174832649013,0.3561085760414941,0.7924563288023665,COMPLETE
13,0.9316245274725274,2026-03-29 01:05:18.976610,2026-03-29 01:06:01.755931,0 days 00:00:42.779321,0.854678371162756,1.1198686295234248,0.02424235328266231,6,19.987886334189476,1000,9.38063978988237e-05,0.983669148642046,0.8388860911999705,COMPLETE
14,0.9320454725274726,2026-03-29 01:06:01.854162,2026-03-29 01:06:57.317951,0 days 00:00:55.463789,0.7292095953333526,1.712206586232348,0.015084091991917287,5,7.126392292745871,3500,2.8018681276242187e-06,0.09412974408075821,0.9978298864744672,COMPLETE
15,0.9319266813186812,2026-03-29 01:06:57.448105,2026-03-29 01:07:47.277525,0 days 00:00:49.829420,0.8851366128821487,0.5242362544615031,0.024358484702877,8,4.049237903703102,1500,0.0008195857516332285,0.16180848208359458,0.7406086632532847,COMPLETE
16,0.9311598461538462,2026-03-29 01:07:47.390664,2026-03-29 01:08:25.620223,0 days 00:00:38.229559,0.7392905824899558,1.8502220188156742,0.04499059090988897,10,7.0370187086667375,3500,0.127552253580258,2.175610232788896,0.8517314664119262,COMPLETE
17,0.9305566153846154,2026-03-29 01:08:25.736702,2026-03-29 01:09:20.389770,0 days 00:00:54.653068,0.9582935175639911,0.6579669519252909,0.0272489901095165,9,3.1299209998749924,2500,1.751835084092472e-06,0.07005722934637719,0.7390907986673838,COMPLETE
18,0.9322944615384616,2026-03-29 01:09:20.491414,2026-03-29 01:10:32.559337,0 days 00:01:12.067923,0.8366070683982904,0.6867787182642576,0.014083924198770262,5,9.222166612429335,3500,0.0025950734464991083,1.110467744016378,0.8012730231592514,COMPLETE
19,0.9325738461538463,2026-03-29 01:10:32.645854,2026-03-29 01:11:02.279334,0 days 00:00:29.633480,0.6921353889914672,1.7228608903320868,0.0381379477812201,7,5.887216309112576,1500,0.00020614774879284444,0.2682514848853713,0.8816265024417161,COMPLETE
20,0.9320640659340659,2026-03-29 01:11:02.372635,2026-03-29 01:11:37.120248,0 days 00:00:34.747613,0.6876767543304997,3.574414864350329,0.05678218802624097,7,5.9662644595495955,1500,0.0001612326300000669,0.0011219722215609711,0.9001393051141001,COMPLETE
21,0.9323890329670329,2026-03-29 01:11:37.211915,2026-03-29 01:12:08.911678,0 days 00:00:31.699763,0.7624039390290888,1.7273331507083607,0.037539159146522304,7,2.351809672147704,1500,7.227175024609539e-06,0.3263577743160484,0.8612946406554771,COMPLETE
22,0.9319425054945056,2026-03-29 01:12:09.004631,2026-03-29 01:12:45.960901,0 days 00:00:36.956270,0.6997735240645564,2.1800306683062245,0.029870874742835625,8,5.705509414096824,2500,0.00027082534915231896,0.024370238551566645,0.9593388120904843,COMPLETE
23,0.9318971428571428,2026-03-29 01:12:46.058961,2026-03-29 01:13:20.893518,0 days 00:00:34.834557,0.7891547402460014,1.4059204953912348,0.047281073711920425,6,2.3953948586814207,2000,0.009616654938749743,2.006189995438437,0.7641587946853242,COMPLETE
24,0.9317395384615385,2026-03-29 01:13:20.995138,2026-03-29 01:14:02.705265,0 days 00:00:41.710127,0.7115084630039024,0.3726203371055047,0.023651941685369736,9,8.494545520540367,2500,6.367733939101477e-05,0.19009447404122634,0.8317135175400057,COMPLETE
25,0.9326198241758241,2026-03-29 01:14:02.805532,2026-03-29 01:14:39.329089,0 days 00:00:36.523557,0.761114782900444,0.9325057848033956,0.038419912406180576,5,4.938424933661904,1000,0.07850821031886493,0.048066855779385985,0.7088683323532767,COMPLETE
26,0.932308923076923,2026-03-29 01:14:39.436980,2026-03-29 01:15:07.602608,0 days 00:00:28.165628,0.7616232010357098,0.938130404122202,0.05533793606953067,5,5.300595541967031,1000,0.8149900305173745,0.04503154421689446,0.715079440066775,COMPLETE
27,0.931810021978022,2026-03-29 01:15:07.720077,2026-03-29 01:15:37.122452,0 days 00:00:29.402375,0.6659304813492402,1.4804575899207444,0.04142219544564042,5,7.737244657930435,1500,0.08334394937669905,0.004636816969982361,0.6005906900903129,COMPLETE
28,0.9323151868131867,2026-03-29 01:15:37.218549,2026-03-29 01:16:30.878067,0 days 00:00:53.659518,0.8277686591368518,1.9121647651076448,0.016444738861820456,9,4.513203625348417,1000,2.7456215092936244e-07,0.009187692199068459,0.6988930119409071,COMPLETE
29,0.9306417582417582,2026-03-29 01:16:30.983779,2026-03-29 01:16:53.425835,0 days 00:00:22.442056,0.6042605578822609,3.00120582375693,0.07580283894524358,9,11.57293093180068,1500,0.02428886102249583,4.094212609865728,0.6396626612027068,COMPLETE
30,0.9326890549450548,2026-03-29 01:16:53.538052,2026-03-29 01:17:41.267564,0 days 00:00:47.729512,0.7095219271537232,2.6988430522112563,0.027362708840699752,8,6.123214182204972,2000,1.213742168543881,0.03978960093692258,0.8754006721464518,COMPLETE
31,0.9324564835164835,2026-03-29 01:17:41.373687,2026-03-29 01:18:21.533794,0 days 00:00:40.160107,0.7055575720748213,2.9373656839562656,0.028063580983787566,8,5.923168108282207,2000,0.6723347371078325,0.029759950837657395,0.8803938297479369,COMPLETE
32,0.9323949450549449,2026-03-29 01:18:21.627874,2026-03-29 01:19:03.347415,0 days 00:00:41.719541,0.6583957953540186,2.595232686510678,0.023015363582560566,8,3.167104430053305,2000,1.0406660410983202,0.06140033296903723,0.7635719578206748,COMPLETE
33,0.9320161318681317,2026-03-29 01:19:03.429819,2026-03-29 01:20:13.267088,0 days 00:01:09.837269,0.7435384031849384,2.1484292729564354,0.010153595631169694,10,9.898514634587865,1500,0.23053561093344707,0.11884215072689466,0.7686564000341466,COMPLETE
34,0.9317133186813187,2026-03-29 01:20:13.375504,2026-03-29 01:20:49.052732,0 days 00:00:35.677228,0.6532863620859644,3.252849306851605,0.038034215234213506,7,8.656068694263128,2000,4.911972487842092,0.010014644996545155,0.9436857355718793,COMPLETE
35,0.9318664835164836,2026-03-29 01:20:49.158868,2026-03-29 01:21:40.654069,0 days 00:00:51.495201,0.6870702676776242,3.5082055246073054,0.03177461301740268,9,13.583908286559552,1000,1.726664220639343e-07,0.8545345133734282,0.8783547221751052,COMPLETE
36,0.9328278901098902,2026-03-29 01:21:40.761285,2026-03-29 01:22:43.508435,0 days 00:01:02.747150,0.7194109609524324,4.993204662796431,0.012549473389197947,8,4.643253825321233,1500,0.03147032754713845,0.03428637754478599,0.6971556011274652,COMPLETE
37,0.9324607472527472,2026-03-29 01:22:43.615089,2026-03-29 01:23:42.679981,0 days 00:00:59.064892,0.7196565062444246,3.7246656437047907,0.013339198310355606,8,3.836993798323242,2500,2.135595252345973,0.03641519638540646,0.6798880015995717,COMPLETE
38,0.9311127252747252,2026-03-29 01:23:42.803815,2026-03-29 01:25:11.794140,0 days 00:01:28.990325,0.7478303817606665,4.90518124154114,0.0118939613600997,8,5.211811474091835,2000,0.04216053046636105,18.62809618803313,0.6495196828864744,COMPLETE
39,0.9325519999999999,2026-03-29 01:25:11.923519,2026-03-29 01:26:04.690145,0 days 00:00:52.766626,0.7814008702897769,4.994958690012109,0.019685470567356284,9,2.4898736229180733,2500,0.2702688876416292,0.013308665971230796,0.7212888087808402,COMPLETE
40,0.9311785934065935,2026-03-29 01:26:04.794149,2026-03-29 01:26:58.569493,0 days 00:00:53.775344,0.8101021969572952,3.9454779839686345,0.012254365714734435,4,10.412351351827175,1000,0.006222656025290279,0.01812399715787141,0.6989125378157327,COMPLETE
41,0.9324066153846153,2026-03-29 01:26:58.678930,2026-03-29 01:27:49.680308,0 days 00:00:51.001378,0.6803218895204917,0.8653668391299322,0.01659427894464505,7,6.380084509994984,1500,2.1368414722701723e-05,0.21094440092959063,0.6617312105032058,COMPLETE
42,0.9324364615384617,2026-03-29 01:27:49.776247,2026-03-29 01:28:31.228149,0 days 00:00:41.451902,0.7278784287565813,1.396337387406754,0.021294480526737727,7,7.798622178562783,1500,0.0006290916618034618,0.005791210303908885,0.7029315565569537,COMPLETE
43,0.9299823296703298,2026-03-29 01:28:31.304738,2026-03-29 01:29:03.689361,0 days 00:00:32.384623,0.7544319504153439,2.8093642661401503,0.06358766820575486,8,4.194134003436082,1000,8.886225713979025,0.061003822077835494,0.6313376495084189,COMPLETE
44,0.9323544615384616,2026-03-29 01:29:03.795960,2026-03-29 01:29:33.531184,0 days 00:00:29.735224,0.6455736557426777,4.624087201764831,0.0507422652184157,7,4.974422014121538,2000,0.0021990717787750734,3.6579105791656077,0.9283916790879218,COMPLETE
45,0.9318568131868131,2026-03-29 01:29:33.647229,2026-03-29 01:30:11.509566,0 days 00:00:37.862337,0.701375684787946,1.2393226554372794,0.03531742316472141,8,3.2177549719545793,3000,0.00042192220821264074,0.09227309013292213,0.7815987231061567,COMPLETE
46,0.9319401098901099,2026-03-29 01:30:11.636942,2026-03-29 01:30:52.244211,0 days 00:00:40.607269,0.7700012176195101,2.36070914324174,0.02633898911987105,8,6.376542856311595,1500,6.560650140346258e-05,9.352187386318576,0.8217348580744148,COMPLETE
47,0.9313396043956046,2026-03-29 01:30:52.340731,2026-03-29 01:32:08.201501,0 days 00:01:15.860770,0.7233116826975043,1.5736718385140345,0.01133159344594251,6,18.828357787357476,2000,0.2948272708985996,0.25614175759567737,0.7523470945264376,COMPLETE
48,0.9321570549450552,2026-03-29 01:32:08.307277,2026-03-29 01:33:02.326309,0 days 00:00:54.019032,0.6712084783256975,1.170632087800693,0.017128122044690282,4,1.8856791427840882,1000,1.9989352209822941,0.567666759210112,0.9015006555687787,COMPLETE
49,0.9325534065934067,2026-03-29 01:33:02.437274,2026-03-29 01:33:35.403611,0 days 00:00:32.966337,0.6355604441999513,0.8260409432580416,0.03189654488656877,7,7.663250572638123,2000,0.011484377069738825,0.045773522922648614,0.6726817022175662,COMPLETE
